trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.5, 'e': 0.6065306597126334}",30,21,2.509915365087136,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.6035055754270405}",30,0,-37.736601455623536,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,11,-14.733151477887079,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.5975005946182375}",20,13,-7.319059404111286,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,7,-83.39358257259155,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 2}",1
105,False,"{'a': 0.5, 'e': 0.5915553643668151}",25,0,-131.88492322575675,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,0,-62.76397197386844,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.5856692901447937}",25,2,-89.9543904448859,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,2,-50.18049120776789,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.5798417833398464}",30,4,-79.07331418853613,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,16,-12.941239751335036,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.574072261196436}",20,2,-11.766714255764638,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.5712090638488149}",25,7,-14.7550125767941,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.5683601467575404}",25,13,-50.59331846747854,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,15,-3.1745497803325065,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.5627048688069557}",25,19,-30.76115976190961,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.559898366565402}",20,6,-63.91752767290951,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.5571058618121739}",20,0,-119.9584080869314,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,1,-74.49369378505227,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.5515625658678298}",30,12,-3.2225322173929207,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,0,-9.265692396349355,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.5460744266397094}",20,12,-10.084887210393614,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,0,-52.18118925252924,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
